Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDC60,OUT049,1382.0228225538744
FDA48,OUT018,3073.044237510436
FDZ36,OUT027,5074.448019391245
FDK27,OUT045,2090.092751135658
FDW23,OUT018,588.9244414370611
FDM14,OUT018,1562.3008184538949
FDM14,OUT013,1658.5420291013213
FDW60,OUT018,2636.097103795438
FDE21,OUT013,1915.8059484933797
NCM42,OUT035,1669.1804543735636
FDY59,OUT010,388.0150824102118
DRI49,OUT049,1344.6252587103143
FDT28,OUT019,407.4735658353978
FDQ22,OUT018,588.9244414370611
FDR60,OUT049,1286.5890518466251
FDC50,OUT019,388.0150824102118
FDV24,OUT013,2436.98720489049
DRF48,OUT010,515.7870807540343
FDQ47,OUT046,734.2402486231003
DRN36,OUT049,1537.3878946943441
NCY06,OUT035,2100.7311764079
FDE52,OUT035,1430.4826129656087
NCB54,OUT045,2081.2367108418634
NCF31,OUT035,2456.4816704565264
FDJ08,OUT027,5065.59197909745
NCC07,OUT017,1649.6859888075267
NCD19,OUT027,1714.9257422169003
FDL46,OUT049,1915.8059484933797
FDM20,OUT045,3966.8461423273943
NCI06,OUT010,470.59922428249575
DRM11,OUT035,3991.0850809418303
NCH07,OUT018,2399.4626737988297
FDS23,OUT013,2139.8778767081476
FDO49,OUT018,656.8381708309288
FDS35,OUT049,1050.9444555210482
DRK39,OUT045,1344.6252587103143
DRI39,OUT049,944.493544286529
FDV04,OUT017,2487.7886894438193
NCN14,OUT035,3221.3863855570708
FDH08,OUT013,3831.9448212795082
FDS20,OUT046,3201.8919199910342
FDV40,OUT049,1195.9291016339716
FDZ48,OUT010,371.14315187360035
FDS24,OUT027,2255.690417478333
FDK44,OUT049,2893.8005924161653
FDS48,OUT045,2445.8432451842846
FDK26,OUT010,589.2081724848248
FDD23,OUT045,3143.6336271380264
NCH54,OUT017,2602.6319538187277
NCP14,OUT010,377.3583843342167
FDM60,OUT010,69.55076622621625
FDV24,OUT017,2436.98720489049
FDH08,OUT018,3412.5065436305968
FDS12,OUT027,3214.6622947398682
FDR39,OUT027,4634.488179458764
FDP12,OUT027,1120.3144060783532
DRF60,OUT027,5977.142724902254
FDC09,OUT035,1669.1804543735636
FDF50,OUT018,2882.781692451829
FDG28,OUT035,3687.2720344134123
NCE19,OUT017,944.493544286529
NCM53,OUT010,390.43545852976786
NCN18,OUT049,1736.7373254649983
FDF32,OUT035,3163.128092704063
FDF11,OUT013,3948.192881500654
DRI59,OUT049,3700.6301075856886
NCG54,OUT035,2818.7012408340725
FDM44,OUT046,1649.6859888075267
FDT57,OUT018,3446.139800096684
FDV24,OUT046,2436.98720489049
FDI50,OUT019,1350.6740242170722
FDS09,OUT035,834.3397105162315
NCC31,OUT027,3742.082719107142
FDQ07,OUT019,546.2631176843612
FDC22,OUT017,3143.6336271380264
FDZ56,OUT046,2799.206775268036
FDZ40,OUT019,165.83121690602687
FDS46,OUT027,3019.764419556127
DRD24,OUT045,2139.8778767081476
FDV45,OUT017,3143.6336271380264
FDL26,OUT045,2448.019160948299
FDA56,OUT018,1886.9234711157574
FDN27,OUT046,1845.416911539911
FDM20,OUT049,3966.8461423273943
FDO16,OUT017,1353.481299004109
FDL03,OUT035,3163.128092704063
FDE58,OUT046,1906.949908199585
FDI02,OUT027,3019.764419556127
NCC55,OUT019,69.55076622621625
FDR03,OUT018,3153.7166374139247
FDB14,OUT017,1426.496112224635
FDR45,OUT013,5465.913201685228
NCN07,OUT017,2139.8778767081476
FDM51,OUT019,377.3583843342167
FDT52,OUT027,6002.319245002104
FDL26,OUT046,2436.98720489049
NCZ42,OUT046,3948.192881500654
DRI47,OUT019,407.4735658353978
FDW40,OUT013,2139.8778767081476
FDN34,OUT046,2808.0628155618306
FDS01,OUT035,2922.1510982759964
NCG55,OUT045,1906.949908199585
FDC11,OUT035,1570.85480351192
FDX35,OUT018,3259.0732959179413
NCB06,OUT046,2602.6319538187277
FDR09,OUT019,944.3287361411216
FDC53,OUT017,1546.2439349881388
FDY45,OUT013,3980.4466556695884
FDA22,OUT010,426.25003638200207
FDE02,OUT035,1556.8823602603811
FDW21,OUT045,1658.5420291013213
FDV34,OUT046,1069.0878475513061
FDS59,OUT049,1649.6859888075267
NCW17,OUT017,2090.092751135658
NCK54,OUT046,1906.949908199585
FDG17,OUT019,765.9639406013822
FDG35,OUT017,2713.5658229434093
FDD08,OUT010,56.85949929298972
NCO07,OUT017,3485.952215004323
FDJ10,OUT010,416.61456135666975
FDW36,OUT017,1649.6859888075267
FDW21,OUT010,386.21442462801133
FDY19,OUT017,1906.949908199585
DRE03,OUT013,814.8452449501947
NCC55,OUT049,746.931515556327
FDH52,OUT010,272.28212814054564
FDO09,OUT017,3956.0951758993015
FDU43,OUT045,3891.6078784167776
FDX09,OUT010,454.5076237608313
FDH40,OUT019,416.7357767225582
FDW58,OUT017,1597.0090324416474
FDC47,OUT017,4232.682735996826
NCR41,OUT035,1565.7384005541758
DRG49,OUT035,3958.831306772896
FDC52,OUT027,3742.082719107142
FDY13,OUT046,1060.2318072575115
FDY35,OUT013,755.7875558501216
FDI35,OUT017,3201.8919199910342
NCU18,OUT049,2139.8778767081476
FDY33,OUT018,2399.4626737988297
FDC15,OUT027,3794.883377543719
FDU01,OUT049,3152.489667431821
NCU42,OUT046,2808.0628155618306
NCV29,OUT018,2636.097103795438
NCY30,OUT017,3201.8919199910342
FDQ46,OUT049,1906.949908199585
FDG58,OUT027,3733.2266788133475
FDK33,OUT017,3436.2543894134647
NCD07,OUT045,1906.949908199585
NCX29,OUT027,3733.2266788133475
NCT42,OUT013,2436.98720489049
DRN59,OUT035,834.3397105162315
FDI44,OUT035,1306.083517412662
FDA45,OUT049,2832.2675957564916
FDP31,OUT045,989.4114588613745
FDY01,OUT046,1906.949908199585
FDT09,OUT018,1945.5646369820417
DRH03,OUT027,2522.3874364830326
FDA36,OUT018,2891.6377327456235
NCF31,OUT017,2436.98720489049
FDG14,OUT049,2436.98720489049
FDG28,OUT027,5730.759972642621
FDU14,OUT049,3971.5906153757937
FDY47,OUT019,405.7090508538488
FDI56,OUT049,1410.9881473995717
DRD01,OUT013,944.493544286529
FDM22,OUT046,953.3495845803236
FDH33,OUT013,746.931515556327
DRZ24,OUT013,1906.949908199585
NCQ38,OUT046,1658.5420291013213
FDO16,OUT027,2227.1488939285678
FDU07,OUT027,3733.2266788133475
NCB07,OUT013,3143.6336271380264
FDU48,OUT045,2139.8778767081476
NCM43,OUT045,2710.3793561033
FDR31,OUT010,348.2081827277585
DRK49,OUT018,588.9244414370611
NCI30,OUT010,722.5192589420302
DRD60,OUT017,2893.8005924161653
NCG19,OUT046,3834.603503432965
FDH12,OUT035,1669.1804543735636
FDM32,OUT035,1454.8466180844666
FDM27,OUT035,2467.5136265143356
NCU53,OUT027,4352.68184025846
NCQ18,OUT046,1649.6859888075267
FDS10,OUT013,2893.8005924161653
FDB33,OUT027,3803.7394178375134
FDI12,OUT013,1382.0228225538744
NCW42,OUT013,3491.7733359662016
NCC06,OUT018,1878.0674308219627
FDW02,OUT017,2081.2367108418634
NCD43,OUT017,1658.5420291013213
FDM57,OUT018,1186.618184591049
FDA58,OUT017,3909.1925138711426
FDK56,OUT046,3143.6336271380264
FDP52,OUT045,3831.9448212795082
FDW20,OUT018,1816.5344341622888
FDS52,OUT049,1658.5420291013213
NCT29,OUT018,1797.6507861317436
NCL54,OUT013,2893.8005924161653
FDC05,OUT045,3143.6336271380264
FDF34,OUT035,3171.9841329978576
FDP03,OUT027,3214.6622947398682
FDD32,OUT010,416.7357767225582
FDZ10,OUT045,2090.092751135658
FDZ40,OUT035,963.9880098525658
FDD51,OUT018,588.9244414370611
NCY30,OUT019,454.5076237608313
FDP58,OUT017,3405.279815100834
FDV49,OUT017,4021.6280418322262
FDY24,OUT019,124.51177947605662
NCO55,OUT017,1649.6859888075267
FDR13,OUT017,1906.949908199585
FDS51,OUT017,959.8755176583728
FDP26,OUT045,1649.6859888075267
NCB54,OUT027,3211.7517897844027
FDF32,OUT017,3143.6336271380264
FDN31,OUT018,2882.781692451829
DRM48,OUT017,734.2402486231003
FDN20,OUT049,2799.206775268036
DRL01,OUT046,4551.835313378486
FDV56,OUT049,1658.5420291013213
DRH13,OUT027,2634.6855305962154
FDA03,OUT017,2436.98720489049
FDF47,OUT027,5730.268906533904
FDX32,OUT046,2436.98720489049
FDX57,OUT049,1537.3878946943441
NCA30,OUT045,3143.6336271380264
FDO49,OUT013,814.8452449501947
FDL04,OUT019,377.3583843342167
DRM48,OUT035,753.7347141891372
FDR16,OUT013,4982.6627154985445
NCC19,OUT018,2882.781692451829
NCE42,OUT045,3804.045081085922
FDY24,OUT017,944.493544286529
FDH19,OUT049,2893.8005924161653
FDJ46,OUT013,2893.8005924161653
FDN45,OUT010,566.5372936021193
FDY08,OUT035,2159.372342274184
FDZ37,OUT035,1410.373328413706
NCT30,OUT045,814.8452449501947
DRY23,OUT018,588.9244414370611
NCZ30,OUT018,1878.0674308219627
FDC44,OUT018,1732.5134011884816
FDB45,OUT035,1616.5034980076844
FDY04,OUT013,2602.6319538187277
FDM27,OUT046,2611.4879941125223
FDZ43,OUT017,3966.8461423273943
FDT39,OUT019,416.32960612919237
NCC06,OUT019,421.4632404042411
FDL15,OUT027,3733.2266788133475
FDL57,OUT017,3989.669284998186
FDU08,OUT046,1633.7846964964324
FDK40,OUT017,4003.051824632276
FDQ12,OUT010,630.7687584133735
FDS48,OUT017,2436.98720489049
FDP09,OUT045,3427.39834911967
FDW21,OUT049,1658.5420291013213
FDY25,OUT035,3525.8053076881106
DRE13,OUT017,1382.0228225538744
FDV43,OUT019,69.55076622621625
FDD22,OUT045,1906.949908199585
FDM46,OUT019,429.02990982642285
NCO30,OUT010,506.9310404602398
FDM25,OUT046,2893.8005924161653
NCN41,OUT049,2081.2367108418634
FDU24,OUT045,1426.496112224635
FDZ50,OUT046,3143.6336271380264
FDP45,OUT013,3855.391866710518
NCM54,OUT045,2081.2367108418634
FDW10,OUT019,454.5076237608313
FDP20,OUT017,2081.2367108418634
FDK32,OUT046,2436.98720489049
FDN52,OUT049,1382.0228225538744
FDM58,OUT045,1736.7373254649983
FDZ46,OUT027,2749.514119564953
NCA18,OUT018,1732.5134011884816
FDD35,OUT046,2081.2367108418634
NCK31,OUT035,834.3397105162315
FDI40,OUT027,2625.8294903024207
FDT50,OUT019,388.0150824102118
NCT06,OUT046,2701.523315809505
FDT31,OUT035,3171.9841329978576
FDT45,OUT049,888.8411980786464
FDT13,OUT045,3152.489667431821
FDO50,OUT045,1410.9881473995717
NCU18,OUT010,416.61456135666975
NCR54,OUT049,3143.6336271380264
NCO18,OUT018,2627.2410635016436
FDU09,OUT045,944.493544286529
FDT13,OUT018,2891.6377327456235
FDE09,OUT046,1915.8059484933797
NCK53,OUT019,377.3583843342167
FDG45,OUT049,3636.3250751362198
DRH15,OUT035,778.6106661190514
FDO21,OUT019,630.110603074597
FDD14,OUT027,5065.59197909745
FDC09,OUT046,1649.6859888075267
FDH45,OUT027,1133.0056730115796
FDV32,OUT046,1050.9444555210482
FDG12,OUT035,2029.1705720114733
FDS32,OUT013,2139.8778767081476
NCL55,OUT018,3583.4065685193164
DRE01,OUT035,3936.71277275406
DRE15,OUT049,1295.4450921404198
NCL42,OUT045,3939.3368412068594
FDP31,OUT013,989.4114588613745
FDN33,OUT018,1268.4890381053697
FDZ59,OUT046,2701.523315809505
FDE45,OUT010,454.5076237608313
FDJ07,OUT013,1915.8059484933797
FDQ45,OUT018,2891.6377327456235
FDM33,OUT027,5391.666493670029
FDO15,OUT010,354.1637409676929
FDM46,OUT013,1426.496112224635
FDR03,OUT045,3485.952215004323
FDY49,OUT018,2581.3540273839653
FDQ60,OUT045,1906.949908199585
FDW10,OUT049,3129.4155870860664
FDO51,OUT049,759.1162005530146
FDJ40,OUT018,1491.6789146882613
FDS20,OUT018,2941.0399853048366
FDU45,OUT013,1906.949908199585
FDV02,OUT035,2818.7012408340725
FDN09,OUT046,3939.3368412068594
NCM55,OUT027,5065.59197909745
FDN23,OUT018,2233.817924870592
FDY31,OUT010,373.2206889013035
FDW03,OUT010,377.3583843342167
FDD14,OUT046,3082.1006304783527
FDV23,OUT017,2081.2367108418634
DRI03,OUT045,2902.65663270996
FDN13,OUT035,1669.1804543735636
FDF45,OUT027,1714.9257422169003
FDU46,OUT035,1410.373328413706
FDB57,OUT049,3709.4861478794833
FDV12,OUT049,1658.5420291013213
FDQ58,OUT013,2445.8432451842846
NCA18,OUT017,1906.949908199585
FDH52,OUT049,968.7315579521675
FDM24,OUT018,2233.817924870592
NCP43,OUT027,4634.488179458764
NCO18,OUT019,454.5076237608313
FDM32,OUT017,1419.8441876933664
NCL07,OUT017,734.2402486231003
FDK03,OUT013,3971.5906153757937
FDP59,OUT017,1588.1529921478527
FDQ24,OUT049,3980.4466556695884
FDQ16,OUT018,1491.6789146882613
FDU44,OUT013,2602.6319538187277
FDH28,OUT010,69.55076622621625
FDV28,OUT019,56.85949929298972
FDM22,OUT045,944.493544286529
FDR56,OUT046,3143.6336271380264
FDV39,OUT049,3152.489667431821
FDU37,OUT019,358.6995698588691
FDQ11,OUT010,402.9731661308006
FDX02,OUT045,3700.6301075856886
NCS42,OUT018,1268.4890381053697
FDY57,OUT027,2513.531396189238
FDB21,OUT049,4004.627037145624
FDE28,OUT017,3800.9702469668778
FDQ55,OUT017,1915.8059484933797
FDA48,OUT049,3678.511573566853
FDZ19,OUT045,2893.8005924161653
NCC43,OUT045,3939.697509014268
NCV18,OUT046,1754.0420626549678
NCA42,OUT018,2399.4626737988297
FDY45,OUT046,3971.5906153757937
NCC30,OUT045,2893.8005924161653
FDM57,OUT013,1382.0228225538744
FDL09,OUT010,426.25003638200207
FDB09,OUT027,3214.6622947398682
FDT44,OUT035,1926.444373765622
NCT06,OUT027,4343.825799964666
FDX26,OUT049,3143.6336271380264
FDK32,OUT013,2436.98720489049
DRA12,OUT046,2139.8778767081476
FDO46,OUT010,515.7870807540343
FDE52,OUT013,1382.0228225538744
NCH42,OUT045,3823.0887809857136
FDV08,OUT035,766.4259811223639
FDB47,OUT018,3144.86059712013
FDC28,OUT010,371.14315187360035
FDD22,OUT046,1906.949908199585
FDS07,OUT027,3019.764419556127
DRI13,OUT045,3436.2543894134647
FDG32,OUT018,3644.1676544824904
FDU14,OUT017,3971.5906153757937
FDD28,OUT019,165.83121690602687
NCP41,OUT017,1658.5420291013213
FDS08,OUT049,2893.8005924161653
FDX47,OUT045,2498.6439036208612
FDC53,OUT019,386.21442462801133
FDQ19,OUT035,3995.1966481872255
FDL14,OUT045,2436.98720489049
FDM33,OUT019,550.7652663654443
FDA51,OUT045,1906.949908199585
FDZ27,OUT018,665.6942111247234
FDT04,OUT046,746.931515556327
DRC13,OUT049,2081.2367108418634
FDR16,OUT027,6969.049394067743
FDQ03,OUT027,5433.670375959052
FDE38,OUT035,2818.7012408340725
DRH23,OUT027,1706.0697019231056
FDT11,OUT019,506.9310404602398
FDD09,OUT035,2922.1510982759964
FDR40,OUT045,1353.481299004109
FDX07,OUT017,3152.489667431821
FDR07,OUT035,1495.3493636007072
FDA51,OUT017,1906.949908199585
FDT59,OUT019,630.7687584133735
FDF20,OUT017,3143.6336271380264
FDR13,OUT045,1906.949908199585
FDY26,OUT049,3477.0961747105284
FDW04,OUT017,2139.8778767081476
FDK52,OUT017,3800.9702469668778
FDN60,OUT049,2498.6439036208612
FDM09,OUT019,454.5076237608313
FDP46,OUT049,1382.0228225538744
FDB50,OUT019,358.6995698588691
NCQ29,OUT049,3906.057749442869
FDP16,OUT027,6002.319245002104
FDX33,OUT018,2399.4626737988297
FDP07,OUT010,515.7870807540343
FDN22,OUT046,3906.057749442869
FDF39,OUT049,4868.618609678545
FDS21,OUT017,968.7315579521675
NCM42,OUT013,1649.6859888075267
FDK50,OUT019,476.18410614948
DRF13,OUT027,3733.2266788133475
FDH35,OUT018,2399.4626737988297
FDP60,OUT018,1491.6789146882613
DRJ49,OUT027,3220.6078300781974
NCT42,OUT019,407.4735658353978
FDE38,OUT049,2799.206775268036
FDI04,OUT049,3143.6336271380264
NCH54,OUT045,2498.6439036208612
FDT56,OUT049,959.8755176583728
DRD15,OUT018,3403.650503336802
FDV58,OUT013,3090.9566707721474
FDP21,OUT049,3143.6336271380264
FDH05,OUT013,3800.9702469668778
FDR10,OUT027,4087.381192285997
NCP06,OUT045,2375.454208230816
FDF33,OUT049,1658.5420291013213
DRK37,OUT013,3282.762512990445
DRH49,OUT045,1353.481299004109
FDT58,OUT013,2799.206775268036
FDD41,OUT018,1491.6789146882613
FDP40,OUT018,1553.4447781601002
FDM51,OUT027,2625.8294903024207
FDO45,OUT010,407.64656973652495
FDW33,OUT010,377.3583843342167
FDY24,OUT045,953.3495845803236
FDB10,OUT010,608.6502243945375
FDM40,OUT035,2159.372342274184
NCI06,OUT017,2893.8005924161653
FDW12,OUT019,348.2081827277585
FDX48,OUT027,3733.2266788133475
NCW05,OUT027,2830.9770102999614
FDX27,OUT017,1475.8548980346702
DRM37,OUT045,3242.572810914118
FDA38,OUT045,3939.3368412068594
FDR36,OUT046,746.931515556327
FDZ45,OUT046,3143.6336271380264
FDG05,OUT017,2602.6319538187277
FDK28,OUT013,3971.5906153757937
FDV47,OUT045,1382.0228225538744
FDN21,OUT045,2602.6319538187277
FDP20,OUT027,3214.6622947398682
FDI35,OUT045,3201.8919199910342
DRY23,OUT013,746.931515556327
FDA56,OUT017,2090.092751135658
FDB09,OUT013,2081.2367108418634
NCO26,OUT027,3019.764419556127
FDQ49,OUT018,2295.4746236009632
FDI52,OUT027,3214.6622947398682
FDZ44,OUT027,3019.764419556127
FDZ09,OUT018,2498.354035789607
FDY03,OUT049,1906.949908199585
NCG42,OUT017,2139.8778767081476
DRI13,OUT027,5422.64106798266
FDQ32,OUT013,2081.2367108418634
FDW16,OUT035,1430.4826129656087
FDU27,OUT046,814.8452449501947
FDR28,OUT010,476.18410614948
FDQ49,OUT010,444.2168464806904
FDS37,OUT046,1906.949908199585
FDW26,OUT018,3073.044237510436
FDX12,OUT018,3551.152794350382
NCP06,OUT013,2375.454208230816
FDW45,OUT010,373.2206889013035
NCN30,OUT049,1546.2439349881388
FDN24,OUT049,888.8411980786464
NCL41,OUT027,1120.3144060783532
FDR02,OUT019,390.43545852976786
FDD09,OUT010,470.59922428249575
FDS33,OUT010,416.5026100303196
FDU22,OUT045,2000.8200661516416
FDI53,OUT013,2602.6319538187277
DRH01,OUT049,2893.8005924161653
FDX32,OUT013,2139.8778767081476
NCP30,OUT018,588.9244414370611
FDB60,OUT045,3143.6336271380264
FDB14,OUT049,1426.496112224635
NCP02,OUT035,963.9880098525658
FDJ10,OUT017,2139.8778767081476
FDG34,OUT046,1736.7373254649983
NCB18,OUT017,1382.0228225538744
FDM16,OUT049,1060.2318072575115
FDW25,OUT018,1186.618184591049
FDB35,OUT010,413.52194500135965
DRN11,OUT013,2139.8778767081476
FDF41,OUT019,722.5192589420302
FDH16,OUT045,1382.0228225538744
NCQ50,OUT018,3095.1627715292716
DRH23,OUT018,786.4864701672636
DRJ37,OUT013,2436.98720489049
DRJ24,OUT027,5065.59197909745
FDY16,OUT035,3163.128092704063
FDQ27,OUT045,1649.6859888075267
FDZ33,OUT045,2436.98720489049
FDF29,OUT045,2148.7339170019422
FDA08,OUT049,2602.6319538187277
FDG31,OUT046,1059.8004958148429
FDE34,OUT019,515.7870807540343
NCR30,OUT027,1924.6605724756723
FDV33,OUT035,3991.0850809418303
DRZ24,OUT018,1806.5068264255383
NCL54,OUT035,2913.295057982202
FDR12,OUT049,2893.8005924161653
NCC54,OUT046,3917.2183071880236
DRN59,OUT013,823.7012852439893
FDX50,OUT019,371.14315187360035
FDV31,OUT027,4634.488179458764
NCA29,OUT027,4634.488179458764
FDW60,OUT049,2902.65663270996
FDX08,OUT017,3210.747960284829
DRD49,OUT013,3834.603503432965
FDD33,OUT046,3800.9702469668778
FDW35,OUT013,755.7875558501216
FDJ36,OUT017,1649.6859888075267
FDV51,OUT035,2818.7012408340725
FDW36,OUT046,1649.6859888075267
FDH35,OUT046,2701.523315809505
NCS30,OUT027,3211.7517897844027
FDN49,OUT017,746.931515556327
FDL08,OUT018,3578.662095470917
FDI09,OUT013,4355.611465397367
FDP19,OUT018,1936.708596688247
FDU21,OUT010,56.85949929298972
NCP41,OUT045,1658.5420291013213
FDY10,OUT013,1906.949908199585
FDP12,OUT018,576.2331745038347
NCN26,OUT049,1906.949908199585
FDK44,OUT013,2893.8005924161653
FDC28,OUT049,1649.6859888075267
FDJ41,OUT027,6049.090189962203
NCT29,OUT035,2100.7311764079
NCH42,OUT019,630.7687584133735
FDU60,OUT018,2572.4979870901707
FDS02,OUT045,3143.6336271380264
FDC51,OUT046,2090.092751135658
FDU03,OUT013,3201.8919199910342
FDX39,OUT045,3477.0961747105284
NCY05,OUT010,56.85949929298972
NCL06,OUT027,6250.599015649967
FDD32,OUT035,1314.9395577064568
NCN41,OUT045,2081.2367108418634
NCX53,OUT049,2148.7339170019422
FDU57,OUT019,407.4735658353978
FDQ23,OUT046,1649.6859888075267
FDQ52,OUT045,4027.238979174143
FDC14,OUT045,746.931515556327
FDY09,OUT035,2913.295057982202
FDQ28,OUT045,2448.019160948299
FDV25,OUT046,3491.7733359662016
FDJ07,OUT035,1935.3004140594167
DRB25,OUT049,1649.6859888075267
FDK52,OUT019,566.5372936021193
FDY52,OUT027,1800.2416194569932
FDB28,OUT046,3143.6336271380264
FDT36,OUT035,753.7347141891372
FDV25,OUT017,3700.6301075856886
NCN07,OUT027,3211.7517897844027
FDC57,OUT017,3143.6336271380264
FDQ03,OUT018,3053.8552215335803
FDU23,OUT017,2808.0628155618306
NCX41,OUT035,3455.748854979501
NCD06,OUT035,834.3397105162315
FDW08,OUT045,1649.6859888075267
NCU29,OUT017,2436.98720489049
NCE06,OUT013,2602.6319538187277
FDV52,OUT010,353.4808706274019
FDB02,OUT017,2893.8005924161653
NCR18,OUT045,755.7875558501216
FDK16,OUT049,1546.2439349881388
NCQ29,OUT010,711.3587011968756
FDZ01,OUT019,386.21442462801133
FDW27,OUT035,2518.1383691868978
FDD17,OUT018,3437.2837598028896
FDW39,OUT013,2893.8005924161653
DRH59,OUT045,1050.9444555210482
FDS52,OUT013,1658.5420291013213
FDU40,OUT027,5065.59197909745
NCF54,OUT013,2893.8005924161653
FDH46,OUT045,1649.6859888075267
NCP14,OUT049,1649.6859888075267
FDH50,OUT049,3152.489667431821
DRF15,OUT010,407.4735658353978
FDV27,OUT027,2255.690417478333
NCJ06,OUT049,2000.8200661516416
FDN02,OUT018,3144.86059712013
FDQ51,OUT049,823.7012852439893
FDQ07,OUT017,3678.511573566853
FDS45,OUT049,1649.6859888075267
NCJ06,OUT045,2081.2367108418634
FDD36,OUT035,1935.3004140594167
FDY25,OUT045,3814.402169696943
FDU52,OUT046,2436.98720489049
DRK47,OUT017,3823.0887809857136
NCL30,OUT017,2081.2367108418634
FDN22,OUT035,3925.5522150089055
NCF30,OUT027,3214.6622947398682
FDK03,OUT035,3991.0850809418303
FDT45,OUT017,944.493544286529
NCC54,OUT027,5980.2007109832675
